TraceType,CachePolicy,CacheSize,AvgHitRate,AvgMissRate,AvgEvictionRate,AvgMemoryUsedKB
Synthetic,FIFO,4,0.0825,0.9175,0.9171,2.07
Synthetic,LRU,4,0.0831,0.9169,0.9165,1.64
Synthetic,CLOCK,4,0.0828,0.9172,0.9168,1.09
Synthetic,ARC,4,0.1022,0.8978,0.8973,5.55
Synthetic,FIFO,8,0.1602,0.8398,0.839,1.96
Synthetic,LRU,8,0.16,0.84,0.8392,2.32
Synthetic,CLOCK,8,0.1601,0.8399,0.8391,1.68
Synthetic,ARC,8,0.1693,0.8307,0.8298,5.52
Synthetic,FIFO,16,0.3206,0.6794,0.6778,1.86
Synthetic,LRU,16,0.321,0.679,0.6774,3.76
Synthetic,CLOCK,16,0.3212,0.6788,0.6772,2.82
Synthetic,ARC,16,0.3207,0.6793,0.6777,5.49
Synthetic,FIFO,32,0.6414,0.3586,0.3554,1.75
Synthetic,LRU,32,0.6401,0.3599,0.3567,6.82
Synthetic,CLOCK,32,0.6411,0.3589,0.3557,5.19
Synthetic,ARC,32,0.64,0.36,0.3568,4.44
Zipfian,FIFO,4,0.183,0.817,0.8166,1.7
Zipfian,LRU,4,0.1968,0.8032,0.8028,1.32
Zipfian,CLOCK,4,0.1866,0.8134,0.813,0.99
Zipfian,ARC,4,0.2495,0.7505,0.75,5.45
Zipfian,FIFO,8,0.3033,0.6967,0.6959,1.7
Zipfian,LRU,8,0.3365,0.6635,0.6627,2.11
Zipfian,CLOCK,8,0.3173,0.6827,0.6819,1.57
Zipfian,ARC,8,0.3732,0.6268,0.626,5.41
Zipfian,FIFO,16,0.481,0.519,0.5174,1.7
Zipfian,LRU,16,0.5266,0.4734,0.4718,3.66
Zipfian,CLOCK,16,0.5116,0.4884,0.4868,2.72
Zipfian,ARC,16,0.5239,0.4761,0.4745,5.4
Zipfian,FIFO,32,0.7431,0.2569,0.2537,1.7
Zipfian,LRU,32,0.777,0.223,0.2198,6.8
Zipfian,CLOCK,32,0.7722,0.2278,0.2246,5.11
Zipfian,ARC,32,0.7773,0.2227,0.2195,4.37
