TraceType,CachePolicy,CacheSize,AvgHitRate,AvgMissRate,AvgEvictionRate,AvgMemoryUsedKB
Synthetic,FIFO,4,0.0783,0.9217,0.9177,2.04
Synthetic,LRU,4,0.0793,0.9207,0.9167,1.61
Synthetic,FIFO,8,0.163,0.837,0.829,1.93
Synthetic,LRU,8,0.163,0.837,0.829,2.29
Synthetic,FIFO,16,0.3297,0.6703,0.6543,1.86
Synthetic,LRU,16,0.3257,0.6743,0.6583,3.76
Synthetic,FIFO,32,0.6273,0.3727,0.3407,1.75
Synthetic,LRU,32,0.632,0.368,0.336,6.8
Synthetic,FIFO,64,0.95,0.05,0.0,1.6
Synthetic,LRU,64,0.95,0.05,0.0,5.44
Synthetic,FIFO,128,0.95,0.05,0.0,1.6
Synthetic,LRU,128,0.95,0.05,0.0,5.44
Synthetic,FIFO,256,0.95,0.05,0.0,1.6
Synthetic,LRU,256,0.95,0.05,0.0,5.44
Synthetic,FIFO,512,0.95,0.05,0.0,1.6
Synthetic,LRU,512,0.95,0.05,0.0,5.44
Synthetic,FIFO,1024,0.95,0.05,0.0,1.6
Synthetic,LRU,1024,0.95,0.05,0.0,5.44
Zipfian,FIFO,4,0.1797,0.8203,0.8163,1.63
Zipfian,LRU,4,0.1957,0.8043,0.8003,1.25
Zipfian,FIFO,8,0.3073,0.6927,0.6847,1.66
Zipfian,LRU,8,0.3437,0.6563,0.6483,2.07
Zipfian,FIFO,16,0.4817,0.5183,0.5023,1.66
Zipfian,LRU,16,0.5333,0.4667,0.4507,3.62
Zipfian,FIFO,32,0.7437,0.2563,0.2243,1.61
Zipfian,LRU,32,0.766,0.234,0.202,6.7
Zipfian,FIFO,64,0.95,0.05,0.0,1.6
Zipfian,LRU,64,0.95,0.05,0.0,5.44
Zipfian,FIFO,128,0.95,0.05,0.0,1.6
Zipfian,LRU,128,0.95,0.05,0.0,5.44
Zipfian,FIFO,256,0.95,0.05,0.0,1.6
Zipfian,LRU,256,0.95,0.05,0.0,5.44
Zipfian,FIFO,512,0.95,0.05,0.0,1.6
Zipfian,LRU,512,0.95,0.05,0.0,5.44
Zipfian,FIFO,1024,0.95,0.05,0.0,1.6
Zipfian,LRU,1024,0.95,0.05,0.0,5.44
