TraceType,CachePolicy,CacheSize,AvgHitRate,AvgMissRate,AvgEvictionRate,AvgMemoryUsedKB
Synthetic,FIFO,4,0.0009,0.9991,0.9991,2.04
Synthetic,LRU,4,0.0009,0.9991,0.9991,1.61
Synthetic,FIFO,8,0.0017,0.9983,0.9982,1.93
Synthetic,LRU,8,0.0017,0.9983,0.9982,2.29
Synthetic,FIFO,16,0.0031,0.9969,0.9967,1.86
Synthetic,LRU,16,0.0031,0.9969,0.9967,3.76
Synthetic,FIFO,32,0.0061,0.9939,0.9936,1.75
Synthetic,LRU,32,0.0061,0.9939,0.9935,6.82
Zipfian,FIFO,4,0.1327,0.8673,0.8673,1.7
Zipfian,LRU,4,0.1479,0.8521,0.8521,1.32
Zipfian,FIFO,8,0.2014,0.7986,0.7985,1.7
Zipfian,LRU,8,0.2368,0.7632,0.7631,2.11
Zipfian,FIFO,16,0.2815,0.7185,0.7183,1.7
Zipfian,LRU,16,0.3329,0.6671,0.667,3.66
Zipfian,FIFO,32,0.3632,0.6368,0.6365,1.7
Zipfian,LRU,32,0.4186,0.5814,0.581,6.8
